Vitesse,iter,PWM,Moteur état,état machine, flowing state, isFlowing, flowingChrono, stoppedChrono, Courant, etat wattmetre,Kp, capteur, rCapteur, timestamp, dérivée 1, dérivée 2
0.00,82,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,379,0.00,0.00
0.00,83,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,386,0.00,0.00
0.00,84,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,393,0.00,0.00
0.00,85,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,400,0.00,0.00
0.00,86,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,408,0.00,0.00
0.00,87,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,416,0.00,0.00
0.00,88,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,424,0.00,0.00
0.00,89,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,432,0.00,0.00
0.00,90,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,440,0.00,0.00
0.00,91,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,448,0.00,0.00
0.00,92,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,456,0.00,0.00
0.00,93,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,464,0.00,0.00
0.00,94,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,472,0.00,0.00
0.00,95,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,480,0.00,0.00
0.00,96,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,488,0.00,0.00
0.00,97,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,496,0.00,0.00
0.00,98,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,504,0.00,0.00
0.00,99,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,512,0.00,0.00
0.00,100,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,520,0.00,0.00
0.00,101,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,529,0.00,0.00
0.00,102,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,538,0.00,0.00
0.00,103,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,547,0.00,0.00
0.00,104,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,556,0.00,0.00
0.00,105,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,565,0.00,0.00
0.00,106,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,574,0.00,0.00
0.00,107,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,583,0.00,0.00
0.00,108,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,592,0.00,0.00
0.00,109,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,601,0.00,0.00
0.00,110,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,610,0.00,0.00
0.00,111,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,619,0.00,0.00
0.00,112,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,628,0.00,0.00
0.00,113,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,637,0.00,0.00
